Date,platino
2014-06-09,1456.300048828125
2014-06-10,1484.199951171875
2014-06-11,1483.0999755859375
2014-06-12,1443.300048828125
2014-06-13,1437.0
2014-06-16,1441.0999755859375
2014-06-17,1445.0999755859375
2014-06-18,1452.800048828125
2014-06-19,1476.5
2014-06-20,1459.300048828125
2014-06-23,1458.5999755859375
2014-06-24,1473.9000244140625
2014-06-25,1475.199951171875
2014-06-26,1472.0999755859375
2014-06-27,1478.5
2014-06-30,1481.0
2014-07-01,1513.5
2014-07-02,1509.699951171875
2014-07-03,1506.0999755859375
2014-07-07,1494.9000244140625
2014-07-08,1495.4000244140625
2014-07-09,1505.9000244140625
2014-07-10,1516.0
2014-07-11,1512.300048828125
2014-07-14,1492.300048828125
2014-07-15,1484.300048828125
2014-07-16,1485.0
2014-07-17,1503.0
2014-07-18,1489.199951171875
2014-07-21,1492.699951171875
2014-07-22,1487.5999755859375
2014-07-23,1485.0
2014-07-24,1472.699951171875
2014-07-25,1477.5999755859375
2014-07-28,1489.4000244140625
2014-07-29,1483.199951171875
2014-07-30,1483.4000244140625
2014-07-31,1465.699951171875
2014-08-01,1463.800048828125
2014-08-04,1468.0999755859375
2014-08-05,1457.4000244140625
2014-08-06,1466.699951171875
2014-08-07,1483.0
2014-08-08,1481.300048828125
2014-08-11,1472.5999755859375
2014-08-12,1473.199951171875
2014-08-13,1470.9000244140625
2014-08-14,1470.199951171875
2014-08-15,1458.199951171875
2014-08-18,1443.199951171875
2014-08-19,1437.5
2014-08-20,1427.699951171875
2014-08-21,1419.300048828125
2014-08-22,1420.5
2014-08-25,1420.4000244140625
2014-08-26,1421.5999755859375
2014-08-27,1421.9000244140625
2014-08-28,1427.199951171875
2014-08-29,1426.699951171875
2014-09-02,1410.4000244140625
2014-09-03,1414.0
2014-09-04,1409.800048828125
2014-09-05,1412.5
2014-09-08,1399.0
2014-09-09,1387.300048828125
2014-09-10,1382.5
2014-09-11,1372.199951171875
2014-09-12,1372.0
2014-09-15,1365.0
2014-09-16,1368.800048828125
2014-09-17,1363.699951171875
2014-09-18,1351.0
2014-09-19,1338.800048828125
2014-09-22,1331.699951171875
2014-09-23,1334.199951171875
2014-09-24,1320.9000244140625
2014-09-25,1315.699951171875
2014-09-26,1303.5
2014-09-29,1307.800048828125
2014-09-30,1298.5
2014-10-01,1287.699951171875
2014-10-02,1269.0999755859375
2014-10-03,1226.0
2014-10-06,1248.4000244140625
2014-10-07,1261.0999755859375
2014-10-08,1266.0999755859375
2014-10-09,1277.800048828125
2014-10-10,1261.0999755859375
2014-10-13,1260.699951171875
2014-10-14,1272.300048828125
2014-10-15,1261.4000244140625
2014-10-16,1252.4000244140625
2014-10-17,1262.0
2014-10-20,1267.9000244140625
2014-10-21,1283.699951171875
2014-10-22,1271.5999755859375
2014-10-23,1255.5
2014-10-24,1251.4000244140625
2014-10-27,1255.199951171875
2014-10-28,1267.0999755859375
2014-10-29,1270.0
2014-10-30,1246.9000244140625
2014-10-31,1236.199951171875
2014-11-03,1243.699951171875
2014-11-04,1225.5999755859375
2014-11-05,1211.5
2014-11-06,1198.0
2014-11-07,1213.300048828125
2014-11-10,1207.4000244140625
2014-11-11,1207.199951171875
2014-11-12,1205.800048828125
2014-11-13,1199.5
2014-11-14,1213.5999755859375
2014-11-17,1201.800048828125
2014-11-18,1205.0999755859375
2014-11-19,1199.800048828125
2014-11-20,1206.0999755859375
2014-11-21,1227.800048828125
2014-11-24,1208.0
2014-11-25,1223.5999755859375
2014-11-26,1227.5
2014-11-28,1210.4000244140625
2014-12-01,1240.699951171875
2014-12-02,1216.5999755859375
2014-12-03,1227.0
2014-12-04,1245.4000244140625
2014-12-05,1219.0
2014-12-08,1228.9000244140625
2014-12-09,1246.300048828125
2014-12-10,1242.0999755859375
2014-12-11,1241.699951171875
2014-12-12,1231.0
2014-12-15,1214.4000244140625
2014-12-16,1196.0
2014-12-17,1199.0
2014-12-18,1196.5999755859375
2014-12-19,1196.5
2014-12-22,1181.699951171875
2014-12-23,1191.300048828125
2014-12-24,1190.699951171875
2014-12-26,1218.0999755859375
2014-12-29,1201.300048828125
2014-12-30,1218.0999755859375
2014-12-31,1208.9000244140625
2015-01-02,1203.0
2015-01-05,1210.0999755859375
2015-01-06,1220.800048828125
2015-01-07,1220.699951171875
2015-01-08,1221.699951171875
2015-01-09,1229.0999755859375
2015-01-12,1240.4000244140625
2015-01-13,1247.4000244140625
2015-01-14,1238.4000244140625
2015-01-15,1262.0999755859375
2015-01-16,1269.800048828125
2015-01-20,1287.0
2015-01-21,1277.300048828125
2015-01-22,1284.0
2015-01-23,1268.0
2015-01-26,1254.699951171875
2015-01-27,1266.300048828125
2015-01-28,1257.5999755859375
2015-01-29,1216.800048828125
2015-01-30,1239.199951171875
2015-02-02,1230.4000244140625
2015-02-03,1237.199951171875
2015-02-04,1240.9000244140625
2015-02-05,1251.699951171875
2015-02-06,1223.5999755859375
2015-02-09,1222.4000244140625
2015-02-10,1209.300048828125
2015-02-11,1197.5999755859375
2015-02-12,1203.5
2015-02-13,1210.5
2015-02-17,1180.0
2015-02-18,1170.199951171875
2015-02-19,1175.800048828125
2015-02-20,1172.9000244140625
2015-02-23,1166.300048828125
2015-02-24,1166.5999755859375
2015-02-25,1172.800048828125
2015-02-26,1174.699951171875
2015-02-27,1186.699951171875
2015-03-02,1191.0
2015-03-03,1190.699951171875
2015-03-04,1182.800048828125
2015-03-05,1181.199951171875
2015-03-06,1159.9000244140625
2015-03-09,1149.699951171875
2015-03-10,1130.5
2015-03-11,1116.4000244140625
2015-03-12,1115.9000244140625
2015-03-13,1116.199951171875
2015-03-16,1108.9000244140625
2015-03-17,1094.699951171875
2015-03-18,1093.5999755859375
2015-03-19,1120.800048828125
2015-03-20,1142.199951171875
2015-03-23,1145.5
2015-03-24,1142.5
2015-03-25,1147.5
2015-03-26,1155.0
2015-03-27,1144.5999755859375
2015-03-30,1116.9000244140625
2015-03-31,1142.5999755859375
2015-04-01,1165.199951171875
2015-04-02,1153.800048828125
